[2025-05-13 02:12:03,511.511] INFO [281473602936864] - Started server process [1]
[2025-05-13 02:12:03,516.516] INFO [281473602936864] - Waiting for application startup.
[2025-05-13 02:12:03,519.519] INFO [281473602936864] - Application startup complete.
[2025-05-13 02:12:03,519.519] INFO [281473602936864] - Uvicorn running on http://0.0.0.0:8086 (Press CTRL+C to quit)
2025-05-13 02:12:15,288 - python_multipart.multipart - DEBUG - Calling on_part_begin with no data
2025-05-13 02:12:15,288 - python_multipart.multipart - DEBUG - Calling on_header_field with data[36:55]
2025-05-13 02:12:15,288 - python_multipart.multipart - DEBUG - Calling on_header_value with data[57:86]
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_header_end with no data
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_headers_finished with no data
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_part_data with data[90:97]
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_part_end with no data
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_part_begin with no data
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_header_field with data[135:154]
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_header_value with data[156:199]
2025-05-13 02:12:15,289 - python_multipart.multipart - DEBUG - Calling on_header_end with no data
2025-05-13 02:12:15,290 - python_multipart.multipart - DEBUG - Calling on_headers_finished with no data
2025-05-13 02:12:15,290 - python_multipart.multipart - DEBUG - Calling on_part_data with data[203:127333]
2025-05-13 02:12:15,290 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,291 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,292 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,292 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,295 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,299 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,300 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,301 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,301 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,302 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,302 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,302 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
2025-05-13 02:12:15,303 - python_multipart.multipart - DEBUG - Calling on_part_data with data[0:262144]
